Category,Product Name,Emotion,Customer Review
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Happy,Thank God it works well. Safe packaging. Fast and friendly response. Trusted seller and courier
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Happy,"good items and fast response, competitive prices with others."
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Happy,"good item, works well, friendly seller, fast delivery"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Happy,"good as expected, the seller is also friendly. thanks seller??"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Happy,"Good item, safe packaging, works well"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Happy,"good item, friendly seller.."
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Happy,great patent joss
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Happy,"Works fine. Seller responds quickly, item works well. Recommended."
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Happy,"good item..sealed..intact..original..functions properly..seller responds well..quick amir...have given me advice, really fits my needs..great"
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Happy,The item arrived and works well and looks good with the blue light.
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Happy,"Super fast delivery, good item, recommended seller, thanks"
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Happy,"Thank God, the item has arrived... try it, it's good... hope it lasts... thank you seller, courier and Tokopedia..."
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Happy,"Trusted seller, responsive. Cable works fine. Fast delivery. Thank You."
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Happy,"Thank God, the goods have arrived, can be used, hopefully it works well and lasts, the courier is good, hopefully the sustenance will continue smoothly"
